PMID,nct_id,has_results_section,has_results_section_update,New_has_results_section,has_adverse_events_section,has_adverse_events_section_update,New_has_adverse_events,primary_completion_date_type,primary_completion_date_type_update,New_primary_completion_date_type,primary_completion_date_update,results_first_post_date_update,primary_completion_date_clean_01,results_first_post_date,start_date_type,trial_start_date_clean_01,trial_start_date_update,start_date_type_update,New_trial_start_date,is_act,results_first_submit_date,results_first_submit_date_update,results_first_submit_qc_date_update,Publication_Date_Prio_Elec,Has_Protocol,Earliest_Document_Date_Protocol,Comp_vs_Up_Protocol,Comp_vs_Up_Protocol_Days,yr_1_Comp_after_Up_Protocol,Has_SAP,Earliest_Document_Date_SAP,Comp_vs_Up_SAP,Comp_vs_Up_SAP_Days,yr_1_Comp_after_Up_SAP,has_protocol_any_version_update,earliest_protocol_date_update,has_sap_any_version_update,earliest_sap_date_update,New_has_protocol,New_has_sap,Comp_vs_Up_Protocol_update,Comp_vs_Up_SAP_update,Comp_vs_Up_Protocol_Days_update,Comp_vs_Up_SAP_Days_update,has_extension_or_cert,disp_first_submit_date,disp_first_post_date
40158525,NCT00906997,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,12/31/2021,1/1/3011,ACTUAL,11/1/2008,2008-11,ACTUAL,1,No,1/1/3011,,,3/27/2025,Yes,1/24/2024,2,754,1,Yes,1/24/2024,2,754,1,Yes,1/24/2024,Yes,1/24/2024,,,1,1,-428,-428,FALSE,,
39863372,NCT01149590,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,5/1/2015,1/1/3011,,11/1/2010,2010-11,,1,No,1/1/3011,,,1/25/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39813643,NCT01772472,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,7/25/2018,10/1/2019,ACTUAL,4/3/2013,4/3/2013,ACTUAL,1,Yes,9/9/2019,7/24/2019,9/9/2019,1/16/2025,Yes,6/18/2021,2,1059,1,Yes,6/20/2023,2,1791,1,Yes,6/18/2021,Yes,6/20/2023,,,1,1,-1308,-576,FALSE,,
40063041,NCT01817166,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,1/4/2023,1/1/3011,,7/16/2013,7/16/2013,,1,No,1/1/3011,,,4/22/2025,No,,3,,,Yes,12/20/2023,2,350,0,No,,Yes,12/20/2023,,,3,1,,-489,FALSE,,
39282897,NCT01844505,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,8/1/2016,9/26/2017,ACTUAL,6/11/2013,6/11/2013,ACTUAL,1,No,8/28/2017,7/14/2017,8/28/2017,9/15/2024,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40466065,NCT01872975,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,9/14/2023,1/1/3011,,8/1/2013,2013-08,,1,No,1/1/3011,,,6/5/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40174598,NCT02100722,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,12/1/2020,1/20/2022,ACTUAL,8/25/2014,8/25/2014,ACTUAL,1,Yes,12/21/2021,11/24/2021,12/21/2021,3/30/2025,Yes,2/27/2018,1,-1008,0,Yes,2/27/2018,1,-1008,0,Yes,2/27/2018,Yes,2/27/2018,,,1,1,-2588,-2588,FALSE,,
39955120,NCT02315443,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,3/27/2023,1/1/3011,ACTUAL,3/26/2015,3/26/2015,ACTUAL,1,No,1/1/3011,,,2/15/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39665649,NCT02466737,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,8/30/2024,1/1/3011,ACTUAL,9/1/2015,2015-09,ACTUAL,1,No,1/1/3011,,,12/12/2024,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39842010,NCT02509286,FALSE,FALSE,,FALSE,FALSE,,ESTIMATED,ESTIMATED,,,,5/1/2024,1/1/3011,,1/1/2016,2016-01,,1,No,1/1/3011,,,1/23/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40097663,NCT02511106,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,4/11/2022,7/27/2021,ACTUAL,10/21/2015,10/21/2015,ACTUAL,1,Yes,7/6/2021,1/15/2021,7/6/2021,3/17/2025,Yes,8/9/2023,2,485,1,Yes,6/23/2020,1,-657,0,Yes,8/9/2023,Yes,6/23/2020,,,1,1,-586,-1728,FALSE,,
40312587,NCT02653716,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,12/8/2023,1/1/3011,ACTUAL,8/29/2017,8/29/2017,ACTUAL,1,No,1/1/3011,,,5/1/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39826968,NCT02687464,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,3/2/2023,1/1/3011,,1/20/2016,1/20/2016,,1,No,1/1/3011,,,1/18/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39879593,NCT02754765,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,6/1/2023,1/1/3011,ACTUAL,12/1/2016,2016-12,ACTUAL,1,No,1/1/3011,,,1/30/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39555820,NCT02830360,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,6/6/2024,1/1/3011,ACTUAL,10/1/2016,2016-10,ACTUAL,1,No,1/1/3011,,,11/16/2024,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40055521,NCT02872116,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,5/27/2020,6/28/2022,ACTUAL,10/12/2016,10/12/2016,ACTUAL,1,Yes,6/23/2022,5/18/2022,6/23/2022,3/7/2025,Yes,9/16/2019,1,-254,0,Yes,5/19/2021,2,357,0,Yes,9/16/2019,Yes,5/19/2021,,,1,1,-1999,-1388,TRUE,5/26/2021,6/1/2021
39665585,NCT02926911,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,6/27/2024,6/24/2025,ACTUAL,2/22/2017,2/22/2017,ACTUAL,1,No,6/5/2025,3/21/2025,6/5/2025,3/18/2025,Yes,5/2/2024,1,-56,0,Yes,5/2/2024,1,-56,0,Yes,5/2/2024,Yes,5/2/2024,,,1,1,-320,-320,FALSE,,
39847361,NCT02966483,FALSE,FALSE,,FALSE,FALSE,,ESTIMATED,ESTIMATED,,,,7/1/2026,1/1/3011,ACTUAL,4/1/2016,2016-04,ACTUAL,1,No,1/1/3011,,,3/4/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40354045,NCT02990663,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,12/22/2023,1/1/3011,ACTUAL,3/31/2017,3/31/2017,ACTUAL,1,No,1/1/3011,,,6/17/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39565030,NCT03005145,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,5/5/2023,1/1/3011,ACTUAL,2/24/2017,2/24/2017,ACTUAL,1,No,1/1/3011,,,11/20/2024,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40159390,NCT03036462,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,5/2/2024,1/1/3011,ACTUAL,3/7/2017,3/7/2017,ACTUAL,1,No,1/1/3011,,,6/10/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40354799,NCT03039673,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,7/22/2021,1/1/3011,ACTUAL,6/19/2017,6/19/2017,ACTUAL,1,No,1/1/3011,,,5/9/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39466903,NCT03042104,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,3/31/2024,1/1/3011,ACTUAL,7/12/2017,7/12/2017,ACTUAL,1,Yes,1/1/3011,,,10/28/2024,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39555823,NCT03048825,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,8/9/2024,1/1/3011,ACTUAL,2/1/2018,2/1/2018,ACTUAL,1,Yes,1/1/3011,,,11/17/2024,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39466640,NCT03094143,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,7/1/2024,1/1/3011,ACTUAL,7/21/2017,7/21/2017,ACTUAL,1,No,1/1/3011,,,1/21/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40174596,NCT03108456,FALSE,FALSE,,FALSE,FALSE,,ESTIMATED,ESTIMATED,,,,6/12/2024,1/1/3011,ACTUAL,3/27/2017,3/27/2017,ACTUAL,1,Yes,1/1/3011,,,3/30/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40133524,NCT03108846,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,4/5/2024,1/1/3011,ACTUAL,1/3/2018,1/3/2018,ACTUAL,1,Yes,1/1/3011,,,3/25/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40195451,NCT03163732,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,11/23/2021,1/1/3011,ACTUAL,6/29/2017,6/29/2017,ACTUAL,1,No,1/1/3011,,,4/7/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39798982,NCT03181893,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,5/27/2022,9/14/2023,ACTUAL,1/23/2018,1/23/2018,ACTUAL,1,Yes,5/26/2023,5/26/2023,9/8/2023,1/11/2025,Yes,9/20/2021,1,-249,0,Yes,6/9/2022,2,13,0,Yes,9/20/2021,Yes,6/9/2022,,,1,1,-1209,-947,FALSE,,
39908421,NCT03226743,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,4/12/2021,1/1/3011,ACTUAL,7/12/2018,7/12/2018,ACTUAL,1,No,1/1/3011,,,3/7/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39920394,NCT03249090,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,3/30/2022,1/14/2025,ACTUAL,10/30/2017,10/30/2017,ACTUAL,1,No,1/10/2025,4/5/2023,1/10/2025,2/7/2025,Yes,12/5/2020,1,-480,0,Yes,9/30/2022,2,184,0,Yes,12/5/2020,Yes,9/30/2022,,,1,1,-1525,-861,FALSE,,
40023651,NCT03285438,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,11/8/2023,1/1/3011,ACTUAL,11/2/2017,11/2/2017,ACTUAL,1,No,1/1/3011,,,3/1/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39652675,NCT03301220,FALSE,TRUE,1,FALSE,TRUE,1,ACTUAL,ACTUAL,,5/1/2024,12/23/2025,5/1/2024,1/1/3011,ACTUAL,11/7/2017,11/7/2017,ACTUAL,1,Yes,1/1/3011,12/6/2025,12/6/2025,12/9/2024,No,,3,,,No,,3,,,Yes,9/23/2024,Yes,12/16/2020,1,1,1,1,-77,-1454,TRUE,4/30/2025,5/1/2025
39655786,NCT03309579,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,7/10/2024,1/1/3011,ACTUAL,2/12/2018,2/12/2018,ACTUAL,1,No,1/1/3011,,,12/9/2024,Yes,9/3/2020,1,-1406,0,Yes,9/13/2024,2,65,0,Yes,9/3/2020,Yes,9/13/2024,,,1,1,-1558,-87,FALSE,,
40294395,NCT03340727,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,1/23/2023,6/28/2024,ACTUAL,2/27/2019,2/27/2019,ACTUAL,1,Yes,5/7/2024,5/7/2024,6/4/2024,6/24/2025,Yes,12/16/2021,1,-403,0,Yes,12/12/2022,1,-42,0,Yes,12/16/2021,Yes,12/12/2022,,,1,1,-1286,-925,FALSE,,
39282913,NCT03375320,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,8/23/2023,10/16/2024,ACTUAL,10/26/2018,10/26/2018,ACTUAL,1,Yes,8/20/2024,8/20/2024,9/25/2024,9/16/2024,Yes,12/7/2022,1,-259,0,Yes,12/7/2022,1,-259,0,Yes,12/7/2022,Yes,12/7/2022,,,1,1,-649,-649,FALSE,,
40163873,NCT03411356,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,8/5/2022,1/1/3011,ACTUAL,12/22/2017,12/22/2017,ACTUAL,1,No,1/1/3011,,,4/1/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39813042,NCT03424109,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,12/31/2022,6/22/2025,ACTUAL,7/1/2019,7/1/2019,ACTUAL,1,No,6/4/2025,2/11/2025,6/4/2025,2/18/2025,Yes,10/30/2022,1,-62,0,Yes,10/30/2022,1,-62,0,Yes,10/30/2022,Yes,10/30/2022,,,1,1,-842,-842,FALSE,,
40079940,NCT03427827,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,2/6/2024,1/1/3011,ACTUAL,7/2/2018,7/2/2018,ACTUAL,1,No,1/1/3011,,,5/13/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40079944,NCT03452137,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,9/27/2023,10/9/2024,ACTUAL,4/3/2018,4/3/2018,ACTUAL,1,Yes,9/16/2024,9/16/2024,9/16/2024,5/13/2025,Yes,2/24/2023,1,-215,0,Yes,3/30/2022,1,-546,0,Yes,2/24/2023,Yes,3/30/2022,,,1,1,-809,-1140,FALSE,,
