PMID,Title,journal_book,nct_id,publication_url,sponsor_name,is_act,is_pact,secondary_ids,lead_sponsor_name,lead_sponsor_class,funder_type,collaborator_names,all_sponsors,is_nih_funded,is_randomized,allocation,intervention_model,study_type,funder_sponsor
40158525,"Effect of invitation to colonoscopy versus faecal immunochemical test screening on colorectal cancer mortality (COLONPREV): a pragmatic, randomised, controlled, non-inferiority trial",Lancet,NCT00906997,,,No,,,Hospital Clinic of Barcelona,OTHER,OTHER,Fundacion Cientifica de la Asociacion Española contra el Cancer; Instituto de Salud Carlos III,Hospital Clinic of Barcelona; Fundacion Cientifica de la Asociacion Española contra el Cancer; Instituto de Salud Carlos III,Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
39863372,Coronary CT angiography-guided management of patients with stable chest pain: 10-year outcomes from the SCOT-HEART randomised controlled trial in Scotland,Lancet,NCT01149590,,,No,,,University of Edinburgh,OTHER,OTHER,NHS Lothian; Chief Scientist Office of the Scottish Government,University of Edinburgh; NHS Lothian; Chief Scientist Office of the Scottish Government,Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
39813643,Survival with Trastuzumab Emtansine in Residual HER2-Positive Breast Cancer,N Engl J Med,NCT01772472,https://clinicaltrials.gov/study/NCT01772472,Hoffmann-La Roche,Yes,TRUE,2012-002018-37 (EUDRACT_NUMBER),Hoffmann-La Roche,INDUSTRY,INDUSTRY,NSABP Foundation Inc; GBG Forschungs GmbH,Hoffmann-La Roche; NSABP Foundation Inc; GBG Forschungs GmbH,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
40063041,High-Dose Vitamin D in Clinically Isolated Syndrome Typical of Multiple Sclerosis: The D-Lay MS Randomized Clinical Trial,JAMA,NCT01817166,,,No,,2012-005821-59 (EUDRACT_NUMBER),Centre Hospitalier Universitaire de Nīmes,OTHER,OTHER,,Centre Hospitalier Universitaire de Nīmes,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39282897,"Final, 10-Year Outcomes with Nivolumab plus Ipilimumab in Advanced Melanoma",N Engl J Med,NCT01844505,,,No,,2012-005371-13 (EUDRACT_NUMBER),Bristol-Myers Squibb,INDUSTRY,INDUSTRY,,Bristol-Myers Squibb,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
40466065,Omitting Regional Nodal Irradiation after Response to Neoadjuvant Chemotherapy,N Engl J Med,NCT01872975,,,No,,"NCI-2012-03198 (REGISTRY, CTRP (Clinical Trial Reporting Program)); U10CA012027 (NIH)",NSABP Foundation Inc,NETWORK,NETWORK,National Cancer Institute (NCI); Radiation Therapy Oncology Group,NSABP Foundation Inc; National Cancer Institute (NCI); Radiation Therapy Oncology Group,Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
40174598,"Outcomes after fractional flow reserve-guided percutaneous coronary intervention versus coronary artery bypass grafting (FAME 3): 5-year follow-up of a multicentre, open-label, randomised trial",Lancet,NCT02100722,https://clinicaltrials.gov/study/NCT02100722,Stanford University,Yes,TRUE,,Stanford University,OTHER,OTHER,"VZW Cardiovascular Research Center Aalst; Catharina Ziekenhuis Eindhoven; Golden Jubilee National Hospital; University of California, Irvine; Medtronic; Abbott Medical Devices; Genae; King's College Hospital NHS Trust; Houston Methodist DeBakey Heart & Vascular Center","Stanford University; VZW Cardiovascular Research Center Aalst; Catharina Ziekenhuis Eindhoven; Golden Jubilee National Hospital; University of California, Irvine; Medtronic; Abbott Medical Devices; Genae; King's College Hospital NHS Trust; Houston Methodist DeBakey Heart & Vascular Center",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39955120,"Efficacy and safety of intravenous nerinetide initiated by paramedics in the field for acute cerebral ischaemia within 3 h of symptom onset (FRONTIER): a phase 2, multicentre, randomised, double-blind, placebo-controlled study",Lancet,NCT02315443,,,No,,"HC6-24-c 195121 (OTHER, Health Canada)",NoNO Inc.,INDUSTRY,INDUSTRY,Brain Canada; Djavad Mowafaghian Centre for Brain Health; Canadian Stroke Network; University of Calgary; University of Toronto; University of British Columbia; Genome British Columbia,NoNO Inc.; Brain Canada; Djavad Mowafaghian Centre for Brain Health; Canadian Stroke Network; University of Calgary; University of Toronto; University of British Columbia; Genome British Columbia,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
39665649,Axillary Surgery in Breast Cancer - Primary Results of the INSEMA Trial,N Engl J Med,NCT02466737,,,No,,,University of Rostock,OTHER,OTHER,German Cancer Aid; GBG Forschungs GmbH,University of Rostock; German Cancer Aid; GBG Forschungs GmbH,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39842010,Perioperative Chemotherapy or Preoperative Chemoradiotherapy in Esophageal Cancer,N Engl J Med,NCT02509286,,,No,,"2015-001683-20 (EUDRACT_NUMBER); DRKS00008008 (REGISTRY, DRKS)",University Hospital Schleswig-Holstein,OTHER,OTHER,Clinical Trials Unit Freiburg; University of Freiburg; University of Leipzig; University of Luebeck; University of Hamburg-Eppendorf,University Hospital Schleswig-Holstein; Clinical Trials Unit Freiburg; University of Freiburg; University of Leipzig; University of Luebeck; University of Hamburg-Eppendorf,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
