PMID,Register,Other_ID,journal_book
39813642,ACTRN,ACTRN12612000270819,N Engl J Med
40042839,ACTRN,ACTRN12614001294640,JAMA
40055522,ACTRN,ACTRN12615000381583,Nat Med
39875685,ACTRN,ACTRN12618000851268,Nat Med
39778170,ACTRN,ACTRN12619000022167,N Engl J Med
40043236,ACTRN,ACTRN12619000196145,N Engl J Med
39869330,ACTRN,ACTRN12619000496112,JAMA
40274279,ACTRN,ACTRN12621000710820,JAMA
39762420,ACTRN,ACTRN12621001239853,Nat Med
39804681,ChiCTR,ChiCTR2200064809,JAMA
39804674,ChiCTR,ChiCTR2200065617,JAMA
40152763,DRKS,DRKS00014279,Dtsch Arztebl Int
39628430,DRKS,DRKS00027585,Dtsch Arztebl Int
40293186,DRKS,DRKS00028303,Dtsch Arztebl Int
40305376,DRKS,DRKS00031923,Dtsch Arztebl Int
40049187,Eudra,EudraCT (2017-001007-72) ,Lancet
40319899,ISRCTN,ISRCTN18229892,Lancet
39779922,ISRCTN,ISRCTN12595520,Nat Med
39972237,ISRCTN,ISRCTN65152174,Nat Med
40086457,ISRCTN,ISRCTN17706019,Lancet
40347964,ISRCTN,ISRCTN61522291,Lancet
39794616,ISRCTN,ISRCTN10368050,Nat Med
39480216,ISRCTN,ISRCTN14223494,N Engl J Med
40181181,ISRCTN,ISRCTN15619939,Nat Med
40162661,ISRCTN,ISRCTN16665769,N Engl J Med
39869330,ISRCTN,ISRCTN17599457,JAMA
40367375,ISRCTN,ISRCTN22964075,N Engl J Med
40250455,ISRCTN,ISRCTN26277546,Lancet
40009803,ISRCTN,ISRCTN30541755,N Engl J Med
40543521,ISRCTN,ISRCTN32414369,Lancet
39652885,ISRCTN,ISRCTN47473244,JAMA
39892911,ISRCTN,ISRCTN48534559,Lancet
39602290,ISRCTN,ISRCTN52352431,JAMA
40132616,ISRCTN,ISRCTN63268739,Lancet
39747684,ISRCTN,ISRCTN86879094,Nat Med
40049187,NTR,Netherlands Trial Registry (NL-OMON54673),Lancet
39761054,NTR,NTR6134,JAMA
40466066,PACTR,PACTR202107707978619,N Engl J Med
40307511,UMINUMIN,UMIN000035940,Nat Med
40562426,ChiCTR,ChiCTR2200057180,BMJ
40561125,ChiCTR,ChiCTR2000040640,PLoS medicine
40435347,ISRCTN,ISRCTN48656428,PLoS medicine
40378371,ISRCTN,ISRCTN15258669,PLoS medicine
40163506,PACTR,PACTR202302505126575,PLoS medicine
40132016,UMINUMIN,UMIN000043613,PLoS medicine
40048454,PACTR,PACTR202102616421588,PLoS medicine
39993822,ISRCTN,ISRCTN14469736,BMJ
39903790,ACTRN,ACTRN12624000622505,PLoS medicine
39880462,ChiCTR,ChiCTR2100050168,BMJ
