record_id,out_link,out_num,out_num_cat,outcome_measure,outcome_description,measurement,meas_rate_gpt,metric,metric_def_gpt,aggregation_method,method_def_gpt,cutoffs,cut_rate_gpt,timeframe,meas_rate,metric_def,method_def,cut_rate,time_prio,time_desc_1,time_desc_2,time_desc_3,time_desc_4,time_desc_5,time_desc_6,time_desc_7,time_desc_8,time_desc_9,nct_key,pmid,title,journal_book,is_act,lead_sponsor_class,funder_type,is_nih_funded
JP_NCT00906997_jun,https://clinicaltrials.gov/study/NCT00906997?term=NCT00906997&rank=1&tab=history&a=1#outcome-measures-card,Primary 1,1,Colorectal cancer-related mortality,NA,Mortality due to colorectal cancer,1,Not reported,2,Not reported,2,Not applicable,3,10 years,1,2,2,3,3,0,1,0,0,0,0,0,0,0,NCT00906997,40158525,"Effect of invitation to colonoscopy versus faecal immunochemical test screening on colorectal cancer mortality (COLONPREV): a pragmatic, randomised, controlled, non-inferiority trial",Lancet,No,OTHER,OTHER,Yes
JP_NCT00906997_jun,https://clinicaltrials.gov/study/NCT00906997?term=NCT00906997&rank=1&tab=history&a=1#outcome-measures-card,Secondary 1,2,Compliance rate,NA,Not reported,2,Not reported,2,Not reported,2,Not applicable,3,2 years,2,2,1,3,3,0,1,0,0,0,0,0,0,0,NCT00906997,40158525,"Effect of invitation to colonoscopy versus faecal immunochemical test screening on colorectal cancer mortality (COLONPREV): a pragmatic, randomised, controlled, non-inferiority trial",Lancet,No,OTHER,OTHER,Yes
JP_NCT00906997_jun,https://clinicaltrials.gov/study/NCT00906997?term=NCT00906997&rank=1&tab=history&a=1#outcome-measures-card,Secondary 2,2,Complication rate,NA,Not reported,2,Not reported,2,Not reported,2,Not applicable,3,10 years,2,2,1,3,3,0,1,0,0,0,0,0,0,0,NCT00906997,40158525,"Effect of invitation to colonoscopy versus faecal immunochemical test screening on colorectal cancer mortality (COLONPREV): a pragmatic, randomised, controlled, non-inferiority trial",Lancet,No,OTHER,OTHER,Yes
JP_NCT00906997_jun,https://clinicaltrials.gov/study/NCT00906997?term=NCT00906997&rank=1&tab=history&a=1#outcome-measures-card,Secondary 3,2,Colorectal cancer incidence,NA,Not reported,2,Not reported,2,Not reported,2,Not applicable,3,15 years,2,2,2,3,3,0,1,0,0,0,0,0,0,0,NCT00906997,40158525,"Effect of invitation to colonoscopy versus faecal immunochemical test screening on colorectal cancer mortality (COLONPREV): a pragmatic, randomised, controlled, non-inferiority trial",Lancet,No,OTHER,OTHER,Yes
JP_NCT00906997_jun,https://clinicaltrials.gov/study/NCT00906997?term=NCT00906997&rank=1&tab=history&a=1#outcome-measures-card,Secondary 4,2,Adherence rate,NA,Not reported,2,Not reported,2,Not reported,2,Not applicable,3,10 years,2,2,1,3,3,0,1,0,0,0,0,0,0,0,NCT00906997,40158525,"Effect of invitation to colonoscopy versus faecal immunochemical test screening on colorectal cancer mortality (COLONPREV): a pragmatic, randomised, controlled, non-inferiority trial",Lancet,No,OTHER,OTHER,Yes
JP_NCT00906997_jun,https://clinicaltrials.gov/study/NCT00906997?term=NCT00906997&rank=1&tab=history&a=1#outcome-measures-card,Secondary 5,2,Advanced colorectal neoplasm detection rate,NA,Not reported,2,Not reported,2,Not reported,2,Not applicable,3,2 years,2,2,1,3,3,0,1,0,0,0,0,0,0,0,NCT00906997,40158525,"Effect of invitation to colonoscopy versus faecal immunochemical test screening on colorectal cancer mortality (COLONPREV): a pragmatic, randomised, controlled, non-inferiority trial",Lancet,No,OTHER,OTHER,Yes
JP_NCT01149590,https://clinicaltrials.gov/study/NCT01149590?term=NCT01149590&rank=1&tab=history&a=2#outcome-measures-card,Primary 1,1,Proportion of patients diagnosed with angina pectoris secondary to coronary heart disease,NA,Not reported,2,End value,1,Categorical,1,Not applicable,3,6 weeks,2,1,1,3,3,0,1,0,0,0,0,0,0,0,NCT01149590,39863372,Coronary CT angiography-guided management of patients with stable chest pain: 10-year outcomes from the SCOT-HEART randomised controlled trial in Scotland,Lancet,No,OTHER,OTHER,Yes
JP_NCT01149590,https://clinicaltrials.gov/study/NCT01149590?term=NCT01149590&rank=1&tab=history&a=2#outcome-measures-card,Secondary 1,2,Symptoms,(i) Chest pain. (ii) Quality of life.,Not valid,2,Not reported,2,Not reported,2,Not applicable,3,"Baseline, after computed tomography scan (where appropriate), 6 weeks and 6 months",2,2,2,3,2,1,0,1,0,1,0,0,0,0,NCT01149590,39863372,Coronary CT angiography-guided management of patients with stable chest pain: 10-year outcomes from the SCOT-HEART randomised controlled trial in Scotland,Lancet,No,OTHER,OTHER,Yes
JP_NCT01149590,https://clinicaltrials.gov/study/NCT01149590?term=NCT01149590&rank=1&tab=history&a=2#outcome-measures-card,Secondary 2,2,Diagnosis,(i) Diagnosis and severity of coronary heart disease (ii) Accuracy of computed tomography coronary angiography,Not valid,2,Not reported,2,Not reported,2,Not applicable,3,"Baseline, after computed tomography scan (where appropriate), 6 weeks and 6 months",2,2,2,3,2,1,0,1,0,1,0,0,0,0,NCT01149590,39863372,Coronary CT angiography-guided management of patients with stable chest pain: 10-year outcomes from the SCOT-HEART randomised controlled trial in Scotland,Lancet,No,OTHER,OTHER,Yes
JP_NCT01149590,https://clinicaltrials.gov/study/NCT01149590?term=NCT01149590&rank=1&tab=history&a=2#outcome-measures-card,Secondary 3,2,Investigations,(i) Exercise electrocardiographic stress test (ii) Nuclear medicine imaging - myocardial perfusion imaging (iii) Stress echocardiography (iv) Invasive coronary angiography (v) Non-coronary investigations,Not valid,2,Not reported,2,Not reported,2,Not applicable,3,"Baseline, 6 weeks, 6 months",2,2,2,3,2,1,0,1,0,0,0,0,0,0,NCT01149590,39863372,Coronary CT angiography-guided management of patients with stable chest pain: 10-year outcomes from the SCOT-HEART randomised controlled trial in Scotland,Lancet,No,OTHER,OTHER,Yes
JP_NCT01149590,https://clinicaltrials.gov/study/NCT01149590?term=NCT01149590&rank=1&tab=history&a=2#outcome-measures-card,Secondary 4,2,Treatment,(i) Secondary prevention (ii) Pharmacological anti-anginal therapy (iii) Coronary revascularisation,Not valid,2,Not reported,2,Not reported,2,Not applicable,3,"Baseline, after computed tomography scan (where appropriate), 6 weeks, 6 months",2,2,2,3,2,1,0,1,0,1,0,0,0,0,NCT01149590,39863372,Coronary CT angiography-guided management of patients with stable chest pain: 10-year outcomes from the SCOT-HEART randomised controlled trial in Scotland,Lancet,No,OTHER,OTHER,Yes
JP_NCT01149590,https://clinicaltrials.gov/study/NCT01149590?term=NCT01149590&rank=1&tab=history&a=2#outcome-measures-card,Secondary 5,2,Long-term outcome,"(i) Cardiovascular death or non-fatal Myocardial Infarction (MI) (ii) Cardiovascular death (iii) Non-fatal MI (iv) Cardiovascular death, non-fatal MI or non-fatal stroke (v) Non-fatal stroke (vi) All-cause death (vii) Coronary revascularisation; percutaneous coronary intervention or coronary artery bypass graft surgery (viii) Hospitalisation for chest pain including acute coronary syndromes and non-coronary chest pain (ix) Hospitalisation for cardiovascular disease including coronary artery disease, cerebrovascular disease and peripheral arterial disease",Not valid,2,Not valid,2,Not reported,2,Not applicable,3,10 years,2,2,2,3,3,0,1,0,0,0,0,0,0,0,NCT01149590,39863372,Coronary CT angiography-guided management of patients with stable chest pain: 10-year outcomes from the SCOT-HEART randomised controlled trial in Scotland,Lancet,No,OTHER,OTHER,Yes
JP_NCT01772472,https://clinicaltrials.gov/study/NCT01772472?term=NCT01772472&rank=1&tab=history&a=12#outcome-measures-card,Primary 1,1,"Invasive disease-free survival (IDFS): Time from randomization to ipsilateral invasive breast tumor recurrence, ipsilateral local-regional invasive breast cancer recurrence, distant recurrence, contralateral invasive breast cancer, or death of any cause",NA,ipsilateral invasive breast tumor recurrence; ipsilateral local-regional invasive breast cancer recurrence; distant recurrence; contralateral invasive breast cancer; death,1,Time-to-event,1,Not reported,2,Not applicable,3,up to 10 years,1,1,2,3,3,0,0,0,1,0,0,0,0,0,NCT01772472,39813643,Survival with Trastuzumab Emtansine in Residual HER2-Positive Breast Cancer,N Engl J Med,Yes,INDUSTRY,INDUSTRY,No
JP_NCT01772472,https://clinicaltrials.gov/study/NCT01772472?term=NCT01772472&rank=1&tab=history&a=12#outcome-measures-card,Secondary 1,2,Invasive disease-free survival including second non-breast cancers,NA,Not reported,2,Time-to-event,1,Not reported,2,Not applicable,3,up to 10 years,2,1,2,3,3,0,0,0,1,0,0,0,0,0,NCT01772472,39813643,Survival with Trastuzumab Emtansine in Residual HER2-Positive Breast Cancer,N Engl J Med,Yes,INDUSTRY,INDUSTRY,No
