PMID,Title,journal_book,nct_id,publication_url,sponsor_name,is_act,is_pact,trial_start_date,trial_start_date_clean_01,trial_start_date_clean_mid,start_date_type,primary_completion_date,primary_completion_date_clean_01,primary_completion_date_clean_mid,primary_completion_date_type,first_registration_date,first_registration_date_clean_01,first_registration_date_clean_mid,first_submitted_date,secondary_ids,lead_sponsor_name,lead_sponsor_class,funder_type,collaborator_names,all_sponsors,is_nih_funded,is_randomized,allocation,intervention_model,study_type,has_results_section,results_first_post_date,results_first_submit_date,has_adverse_events_section,Has_Protocol,Earliest_Document_Date_Protocol,Has_SAP,Earliest_Document_Date_SAP,Electronic_Publication_Date,Print_Publication_Date,Publication_Date_Prio_Print,Publication_Date_Prio_Elec,funder_sponsor
40158525,"Effect of invitation to colonoscopy versus faecal immunochemical test screening on colorectal cancer mortality (COLONPREV): a pragmatic, randomised, controlled, non-inferiority trial",Lancet,NCT00906997,,,No,,2008-11,11/1/2008,11/15/2008,ACTUAL,12/31/2021,12/31/2021,12/31/2021,ACTUAL,5/19/2009,5/19/2009,5/19/2009,5/19/2009,,Hospital Clinic of Barcelona,OTHER,OTHER,Fundacion Cientifica de la Asociacion Española contra el Cancer; Instituto de Salud Carlos III,Hospital Clinic of Barcelona; Fundacion Cientifica de la Asociacion Española contra el Cancer; Instituto de Salud Carlos III,Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,Yes,1/24/2024,Yes,1/24/2024,3/27/2025,4/12/2025,4/12/2025,3/27/2025,NIH
39863372,Coronary CT angiography-guided management of patients with stable chest pain: 10-year outcomes from the SCOT-HEART randomised controlled trial in Scotland,Lancet,NCT01149590,,,No,,2010-11,11/1/2010,11/15/2010,,2015-05,5/1/2015,5/16/2015,ACTUAL,6/22/2010,6/22/2010,6/22/2010,6/21/2010,,University of Edinburgh,OTHER,OTHER,NHS Lothian; Chief Scientist Office of the Scottish Government,University of Edinburgh; NHS Lothian; Chief Scientist Office of the Scottish Government,Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,1/25/2025,1/25/2025,1/25/2025,NIH
39813643,Survival with Trastuzumab Emtansine in Residual HER2-Positive Breast Cancer,N Engl J Med,NCT01772472,https://clinicaltrials.gov/study/NCT01772472,Hoffmann-La Roche,Yes,TRUE,4/3/2013,4/3/2013,4/3/2013,ACTUAL,7/25/2018,7/25/2018,7/25/2018,ACTUAL,1/17/2013,1/17/2013,1/17/2013,1/17/2013,2012-002018-37 (EUDRACT_NUMBER),Hoffmann-La Roche,INDUSTRY,INDUSTRY,NSABP Foundation Inc; GBG Forschungs GmbH,Hoffmann-La Roche; NSABP Foundation Inc; GBG Forschungs GmbH,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,TRUE,10/1/2019,9/9/2019,TRUE,Yes,6/18/2021,Yes,6/20/2023,,1/16/2025,1/16/2025,1/16/2025,INDUSTRY
40063041,High-Dose Vitamin D in Clinically Isolated Syndrome Typical of Multiple Sclerosis: The D-Lay MS Randomized Clinical Trial,JAMA,NCT01817166,,,No,,7/16/2013,7/16/2013,7/16/2013,,1/4/2023,1/4/2023,1/4/2023,ACTUAL,3/20/2013,3/20/2013,3/20/2013,3/20/2013,2012-005821-59 (EUDRACT_NUMBER),Centre Hospitalier Universitaire de Nīmes,OTHER,OTHER,,Centre Hospitalier Universitaire de Nīmes,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,Yes,12/20/2023,,4/22/2025,4/22/2025,4/22/2025,OTHER
39282897,"Final, 10-Year Outcomes with Nivolumab plus Ipilimumab in Advanced Melanoma",N Engl J Med,NCT01844505,,,No,,6/11/2013,6/11/2013,6/11/2013,ACTUAL,8/1/2016,8/1/2016,8/1/2016,ACTUAL,4/30/2013,4/30/2013,4/30/2013,4/29/2013,2012-005371-13 (EUDRACT_NUMBER),Bristol-Myers Squibb,INDUSTRY,INDUSTRY,,Bristol-Myers Squibb,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,TRUE,9/26/2017,8/28/2017,TRUE,No,,No,,9/15/2024,1/2/2025,1/2/2025,9/15/2024,INDUSTRY
40466065,Omitting Regional Nodal Irradiation after Response to Neoadjuvant Chemotherapy,N Engl J Med,NCT01872975,,,No,,2013-08,8/1/2013,8/16/2013,,9/14/2023,9/14/2023,9/14/2023,ACTUAL,6/6/2013,6/6/2013,6/6/2013,6/3/2013,"NCI-2012-03198 (REGISTRY, CTRP (Clinical Trial Reporting Program)); U10CA012027 (NIH)",NSABP Foundation Inc,NETWORK,NETWORK,National Cancer Institute (NCI); Radiation Therapy Oncology Group,NSABP Foundation Inc; National Cancer Institute (NCI); Radiation Therapy Oncology Group,Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,6/5/2025,6/5/2025,6/5/2025,NIH
40174598,"Outcomes after fractional flow reserve-guided percutaneous coronary intervention versus coronary artery bypass grafting (FAME 3): 5-year follow-up of a multicentre, open-label, randomised trial",Lancet,NCT02100722,https://clinicaltrials.gov/study/NCT02100722,Stanford University,Yes,TRUE,8/25/2014,8/25/2014,8/25/2014,ACTUAL,12/1/2020,12/1/2020,12/1/2020,ACTUAL,3/27/2014,3/27/2014,3/27/2014,3/21/2014,,Stanford University,OTHER,OTHER,"VZW Cardiovascular Research Center Aalst; Catharina Ziekenhuis Eindhoven; Golden Jubilee National Hospital; University of California, Irvine; Medtronic; Abbott Medical Devices; Genae; King's College Hospital NHS Trust; Houston Methodist DeBakey Heart & Vascular Center","Stanford University; VZW Cardiovascular Research Center Aalst; Catharina Ziekenhuis Eindhoven; Golden Jubilee National Hospital; University of California, Irvine; Medtronic; Abbott Medical Devices; Genae; King's College Hospital NHS Trust; Houston Methodist DeBakey Heart & Vascular Center",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,TRUE,1/20/2022,12/21/2021,TRUE,Yes,2/27/2018,Yes,2/27/2018,3/30/2025,4/26/2025,4/26/2025,3/30/2025,OTHER
39955120,"Efficacy and safety of intravenous nerinetide initiated by paramedics in the field for acute cerebral ischaemia within 3 h of symptom onset (FRONTIER): a phase 2, multicentre, randomised, double-blind, placebo-controlled study",Lancet,NCT02315443,,,No,,3/26/2015,3/26/2015,3/26/2015,ACTUAL,3/27/2023,3/27/2023,3/27/2023,ACTUAL,12/10/2014,12/10/2014,12/10/2014,12/5/2014,"HC6-24-c 195121 (OTHER, Health Canada)",NoNO Inc.,INDUSTRY,INDUSTRY,Brain Canada; Djavad Mowafaghian Centre for Brain Health; Canadian Stroke Network; University of Calgary; University of Toronto; University of British Columbia; Genome British Columbia,NoNO Inc.; Brain Canada; Djavad Mowafaghian Centre for Brain Health; Canadian Stroke Network; University of Calgary; University of Toronto; University of British Columbia; Genome British Columbia,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,2/15/2025,2/15/2025,2/15/2025,INDUSTRY
39665649,Axillary Surgery in Breast Cancer - Primary Results of the INSEMA Trial,N Engl J Med,NCT02466737,,,No,,2015-09,9/1/2015,9/15/2015,ACTUAL,8/30/2024,8/30/2024,8/30/2024,ACTUAL,6/4/2015,6/4/2015,6/4/2015,6/4/2015,,University of Rostock,OTHER,OTHER,German Cancer Aid; GBG Forschungs GmbH,University of Rostock; German Cancer Aid; GBG Forschungs GmbH,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,12/12/2024,3/13/2025,3/13/2025,12/12/2024,OTHER
39842010,Perioperative Chemotherapy or Preoperative Chemoradiotherapy in Esophageal Cancer,N Engl J Med,NCT02509286,,,No,,2016-01,1/1/2016,1/16/2016,,5/1/2024,5/1/2024,5/1/2024,ESTIMATED,7/23/2015,7/23/2015,7/23/2015,7/22/2015,"2015-001683-20 (EUDRACT_NUMBER); DRKS00008008 (REGISTRY, DRKS)",University Hospital Schleswig-Holstein,OTHER,OTHER,Clinical Trials Unit Freiburg; University of Freiburg; University of Leipzig; University of Luebeck; University of Hamburg-Eppendorf,University Hospital Schleswig-Holstein; Clinical Trials Unit Freiburg; University of Freiburg; University of Leipzig; University of Luebeck; University of Hamburg-Eppendorf,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,1/23/2025,1/23/2025,1/23/2025,OTHER
